sep=; 
Time;Heater L;Heater R;TS-1;TS-2;TS-3;TS-4;T-Set;T-Actual;PWR-Heat;PWR-Fan;T-ColdJ;Mode
02:55,25;179,9;166,7;116,3;102,6;0,0;0,0;121;116,3; 51; 60;26,3;REFLOW
02:55,50;179,9;166,7;116,3;102,6;0,0;0,0;121;116,3; 51; 60;26,2;REFLOW
02:55,75;179,9;166,7;116,4;102,6;0,0;0,0;121;116,4; 47; 60;26,2;REFLOW
02:55,00;179,9;166,7;116,4;102,6;0,0;0,0;121;116,4; 50; 60;26,2;REFLOW
02:56,25;179,9;166,7;116,4;102,6;0,0;0,0;121;116,4; 50; 60;26,3;REFLOW
02:56,50;179,9;166,7;116,6;102,7;0,0;0,0;121;116,6; 48; 60;26,2;REFLOW
02:56,75;179,9;166,7;116,8;102,9;0,0;0,0;121;116,8; 45; 60;26,3;REFLOW
02:56,00;179,9;166,7;116,9;102,9;0,0;0,0;121;116,9; 45; 60;26,1;REFLOW
02:57,25;179,9;166,7;116,9;103,0;0,0;0,0;121;116,9; 48; 60;26,3;REFLOW
02:57,50;181,0;166,7;117,0;103,1;0,0;0,0;121;117,0; 47; 60;26,3;REFLOW
02:57,75;181,0;166,7;117,1;103,1;0,0;0,0;121;117,1; 47; 60;26,3;REFLOW
02:57,00;179,9;166,7;117,1;103,3;0,0;0,0;121;117,1; 46; 60;26,3;REFLOW
02:58,25;179,9;167,8;117,2;103,3;0,0;0,0;121;117,2; 47; 60;26,3;REFLOW
02:58,50;179,9;167,8;117,2;103,3;0,0;0,0;121;117,2; 48; 60;26,1;REFLOW
02:58,75;179,9;167,8;117,2;103,4;0,0;0,0;121;117,2; 48; 60;26,2;REFLOW
02:58,00;179,9;167,8;117,3;103,5;0,0;0,0;121;117,3; 47; 60;26,3;REFLOW
02:59,25;179,9;167,8;117,3;103,6;0,0;0,0;121;117,3; 48; 60;26,3;REFLOW
02:59,50;178,8;167,8;117,3;103,6;0,0;0,0;121;117,3; 49; 60;26,2;REFLOW
02:59,75;178,8;167,8;117,3;103,6;0,0;0,0;121;117,3; 49; 60;26,1;REFLOW
02:59,00;178,8;167,8;117,3;103,8;0,0;0,0;121;117,3; 49; 60;26,3;REFLOW
03:00,25;178,8;167,8;117,3;103,8;0,0;0,0;122;117,3; 51; 60;26,2;REFLOW
03:00,50;178,8;168,9;117,3;103,9;0,0;0,0;122;117,3; 51; 60;26,3;REFLOW
03:00,75;178,8;168,9;117,3;103,9;0,0;0,0;122;117,3; 51; 60;26,2;REFLOW
03:00,00;178,8;168,9;117,4;104,0;0,0;0,0;122;117,4; 49; 60;26,2;REFLOW
03:01,25;178,8;168,9;117,5;104,0;0,0;0,0;122;117,5; 51; 60;26,2;REFLOW
03:01,50;178,8;170,0;117,5;104,1;0,0;0,0;122;117,5; 53; 60;26,2;REFLOW
03:01,75;178,8;170,0;117,6;104,1;0,0;0,0;122;117,6; 52; 60;26,2;REFLOW
03:01,00;178,8;170,0;117,8;104,1;0,0;0,0;122;117,8; 48; 60;26,1;REFLOW
03:02,25;178,8;170,0;117,9;104,2;0,0;0,0;123;117,9; 52; 60;26,3;REFLOW
03:02,50;178,8;170,0;118,1;104,2;0,0;0,0;123;118,1; 49; 60;26,3;REFLOW
03:02,75;178,8;170,0;118,2;104,3;0,0;0,0;123;118,2; 49; 60;26,3;REFLOW
03:02,00;177,7;170,0;118,3;104,3;0,0;0,0;123;118,3; 50; 60;26,3;REFLOW
03:03,25;177,7;170,0;118,4;104,3;0,0;0,0;123;118,4; 52; 60;26,2;REFLOW
03:03,50;177,7;170,0;118,4;104,4;0,0;0,0;123;118,4; 54; 60;26,2;REFLOW
03:03,75;177,7;170,0;118,5;104,4;0,0;0,0;123;118,5; 51; 60;26,3;REFLOW
03:03,00;177,7;170,0;118,6;104,4;0,0;0,0;123;118,6; 52; 60;26,2;REFLOW
03:04,25;177,7;171,1;118,6;104,4;0,0;0,0;124;118,6; 57; 60;26,2;REFLOW
03:04,50;177,7;171,1;118,6;104,5;0,0;0,0;124;118,6; 57; 60;26,2;REFLOW
03:04,75;177,7;171,1;118,6;104,6;0,0;0,0;124;118,6; 55; 60;26,3;REFLOW
03:04,00;177,7;171,1;118,7;104,6;0,0;0,0;124;118,7; 55; 60;26,2;REFLOW
03:05,25;177,7;171,1;118,7;104,7;0,0;0,0;124;118,7; 60; 60;26,3;REFLOW
03:05,50;177,7;171,1;118,8;104,8;0,0;0,0;124;118,8; 58; 60;26,2;REFLOW
03:05,75;177,7;171,1;118,8;104,8;0,0;0,0;124;118,8; 58; 60;26,3;REFLOW
03:05,00;177,7;171,1;118,9;104,8;0,0;0,0;124;118,9; 57; 60;26,1;REFLOW
03:06,25;177,7;171,1;118,9;104,8;0,0;0,0;125;118,9; 61; 60;26,3;REFLOW
03:06,50;177,7;171,1;119,0;104,8;0,0;0,0;125;119,0; 60; 60;26,3;REFLOW
03:06,75;177,7;172,2;119,1;104,9;0,0;0,0;125;119,1; 58; 60;26,3;REFLOW
03:06,00;177,7;172,2;119,2;105,1;0,0;0,0;125;119,2; 59; 60;26,2;REFLOW
03:07,25;177,7;172,2;119,3;105,3;0,0;0,0;125;119,3; 62; 60;26,2;REFLOW
03:07,50;177,7;172,2;119,3;105,3;0,0;0,0;125;119,3; 62; 60;26,2;REFLOW
